 | 2BSH  | AIS   | PSI   | 526   | 2 | 3 | 
 | 2BCT  | AIS   | PSI   | 526   | 2 | 3 | 
 | 1BS   | AIS   | FIL   | 501   | 2 | 5 | 
 | 1BSH  | AIS   | FIL   | 502   | 2 | 7 | 
 | 2BSH  | AIS   | PSI   | 526   | 3 | 1 | 
 | 2BCT  | AIS   | PSI   | 526   | 3 | 1 | 
 | 2BS   | AIS   | PSI   | 521   | 3 | 5 | 
 | 1BS   | AIS   | FIL   | 501   | 3 | 6 | 
 | 2BSH  | AIS   | PSI   | 526   | 4 | 1 | 
 | 2BCT  | AIS   | PSI   | 526   | 4 | 1 | 
 | 1ESOG | AIS   | CSG   | 203   | 4 | 2 | 
 | 1ESOH | AIS   | CSG   | 203   | 4 | 2 | 
 | 1ESOI | AIS   | CSG   | 203   | 4 | 2 | 
 | 2BS   | AIS   | PSI   | 521   | 5 | 1 | 
 | 1BS   | AIS   | FIL   | 501   | 5 | 2 | 
 | 1BSH  | AIS   | FIL   | 502   | 5 | 3 | 
 | 2ESOB | AMR   | AMBCM | 302   | 1 | 3 | 
 | 2ESOC | AMR   | AMBCM | 302   | 1 | 3 | 
 | 2BCT  | AMR   | BIO   | 526   | 1 | 6 | 
 | 2ESOB | AMR   | AMBCM | TIC1  | 1 | 7 | 
 | 2ESOC | AMR   | AMBCM | TIC1  | 1 | 7 | 
 | 2ESOB | AMR   | AMBCM | 302   | 2 | 1 | 
 | 2ESOC | AMR   | AMBCM | 302   | 2 | 1 | 
 | 3ESOC | AMR   | BYG   | 113   | 2 | 2 | 
 | 3ESOF | AMR   | BYG   | 425   | 2 | 7 | 
 | 2ESOB | AMR   | AMBCM | 302   | 3 | 1 | 
 | 2ESOC | AMR   | AMBCM | 302   | 3 | 1 | 
 | 3ESOG | AMR   | BYG   | 426   | 3 | 2 | 
 | 2ESOB | AMR   | AMBCM | 302   | 3 | 3 | 
 | 2ESOC | AMR   | AMBCM | 302   | 3 | 3 | 
 | 2ESOB | AMR   | AMBCM | TIC1  | 3 | 5 | 
 | 2ESOC | AMR   | AMBCM | TIC1  | 3 | 5 | 
 | 2BCT  | AMR   | BIO   | 526   | 3 | 6 | 
 | 2BCT  | AMR   | BIO   | 526   | 4 | 3 | 
 | 2ESOB | AMR   | AMBCM | 302   | 4 | 5 | 
 | 2ESOC | AMR   | AMBCM | 302   | 4 | 5 | 
 | 3ESOC | AMR   | BYG   | 113   | 4 | 7 | 
 | 2ESOB | AMR   | AMBCM | TIC1  | 5 | 1 | 
 | 2ESOC | AMR   | AMBCM | TIC1  | 5 | 1 | 
 | 3ESOG | AMR   | BYG   | 426   | 5 | 2 | 
 | 2BCT  | AMR   | BIO   | 526   | 5 | 3 | 
 | 3ESOF | AMR   | BYG   | 425   | 5 | 6 | 
 | 3ESOA | ANO   | LCL   | 311   | 1 | 1 | 
 | 3ESOC | ANO   | LCL   | 113   | 1 | 2 | 
 | 3ESOC | ANO   | LCL   | 113   | 2 | 1 | 
 | 3ESOA | ANO   | LCL   | 311   | 2 | 2 | 
 | 2ESOF | ANO   | LIBD1 | 411   | 2 | 3 | 
 | 2ESOH | ANO   | LIBD1 | 411   | 2 | 3 | 
 | 2ESOH | ANO   | LCL   | 417   | 2 | 5 | 
 | 1BS   | ANO   | LCL   | 501   | 2 | 6 | 
 | 3ESOA | ANO   | LCL   | 311   | 3 | 1 | 
 | 2ESOH | ANO   | LCL   | 417   | 3 | 2 | 
 | 3ESOA | ANO   | LIBD4 | 113   | 3 | 3 | 
 | 3ESOB | ANO   | LIBD4 | 113   | 3 | 3 | 
 | 3ESOC | ANO   | LIBD4 | 113   | 3 | 3 | 
 | 3ESOE | ANO   | LIBD1 | 512   | 3 | 6 | 
 | 3ESOF | ANO   | LIBD1 | 512   | 3 | 6 | 
 | 3ESOC | ANO   | LCL   | 113   | 4 | 1 | 
 | 1BS   | ANO   | LCL   | 501   | 4 | 2 | 
 | 2ESOH | ANO   | LCL   | 417   | 4 | 3 | 
 | 3ESOC | ANO   | LCL   | 113   | 5 | 1 | 
 | 2ESOH | ANO   | LCL   | 417   | 5 | 2 | 
 | 1BS   | ANO   | LCL   | 501   | 5 | 3 | 
 | 3ESOA | ANO   | LCL   | 311   | 5 | 6 | 
 | 4ESOC | AO    | REV   | 113   | 1 | 1 | 
 | 2ESOE | AO    | REV   | 414   | 1 | 3 | 
 | 3ESOA | AO    | REV   | 203   | 1 | 5 | 
 | 1ESOF | AO    | REV   | 412   | 1 | 6 | 
 | 1ESOB | AOV   | MAT   | 402   | 1 | 1 | 
 | 1ESOA | AOV   | MAT   | 401   | 1 | 2 | 
